,评论,分类
29,整体评价：我第一次买烂番茄，刚好基三款是烂番茄，嘻嘻嘻嘻这可真是太棒了。  保湿效果：润，但不是像猪油那样特别润 唇膏质地：这个不知道咋说，我也不是专业的，总之保湿效果可，要分析质地的话不应该把这管口红捏碎揉揉么？  上嘴效果：我爱。但是我的前置摄像头碎成了渣，无法前置成像对不起了各位。  实物颜色：直接上图 最后我想说一下，五毒实在是太卑微了。兄弟们看P3可以找得到五毒么？我是找了很久。算了，客服小姐姐帮我反映一下&ldquo;加强五毒&rdquo;。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
30,整体评价：很好 保湿效果：保湿，不拔干，也不会觉得油腻 唇膏质地：丝滑哑光 上嘴效果：选的117和407号色，上嘴效果看图，好看，日常  实物颜色：实物包装好看，做工精美，觉得超值,颜色分类:M117红鸾绣（正红色）
31,整体评价：光是包装就很严实，我拆了半天，我先入手了一个他们家眉笔，特别好用，适合我这种不会画眉的，这次买的口红，真的好有档次，好好看，我买的栗子红棕，超级好看，打算再买个他们家的蜜粉，真的东西都太好了，姐妹们一定要买，一定要光顾，祝花西子生意兴隆！！！,颜色分类:M124知音绣（栗子红棕）
32,买的时候以为是塑壳子，收到货是金属的而且很有质感，大爱啊，不管是颜色还是口红的质感，都超级棒，还会入手其他东西，已种草 整体评价：五星 保湿效果：特别好,颜色分类:【剑网3比翼相思联名】 M122 相思绣
33,整体评价：七分 保湿效果：很润，很润，很润，重要的事情说三遍，经常戴口罩的姐妹要注意三层定妆，色号不出错，没有很惊艳也不*亡，中规中矩，黄黑皮白皮都不挑，很显色，厚涂气场太足不适合年纪轻的小姐妹，可以点涂，那个颜色绝了，最后说一句剑网三牛*！！！！！！！！！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
34,口红颜色很好看，外观很大气 非常喜欢,颜色分类:M407玉棠绣（微糖豆沙）
35,整体评价：就这快递包装满分一百😊，口红真的太美了，整体非常高端大气，颜色很正，我是之前买东西赠的口红的试版，试过之后果断买了一只，真的太好用了，嘴唇一点也不拔干，润润的而且还不是那种涂上油光光的，好用，还有客服朝云态度很好，回复及时。,颜色分类:M119湘妃绣（胡萝卜色）
36,过几天七夕啦，送一只口红💄给媳妇，大品牌应该不错，设计很漂亮,颜色分类:【剑网3比翼相思联名】 M122 相思绣
37,非常可以，买了一个，很喜欢，质量可以，不错不错媳妇非常喜欢,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
38,整体评价：精致滋润显皮白  唇膏质地：哑光滋润   上嘴效果：显白（黄皮），直接画不好唇形不好勾勒 实物颜色：感觉有点红，但是显皮白很好，不会出错的颜色,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
39,整体评价：好看颜值高 保湿效果：不错 唇膏质地：细腻顺滑 上嘴效果：超级美！素颜也好看 实物颜色：偏深 非常非常显白！！这个色超级爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
40,不得不说花西子的颜值真的深爱了，每一款都是恰到好处的美，必须是国货之光啊，很湿润上色效果也超级棒，这款的雕花真的是精致到不行啊,颜色分类:M121凤鸾绣（经典正红色）
41,真的好看，包装手感不输大牌，颜色等等等，都非常的喜欢，一收到货就迫不及待打开，果然真的很理想，爱了爱了，七夕节最好的礼物，细细看口红上的花纹，好精致，研究了半天，真的特别好看。,颜色分类:M116彤心绣（烂番茄色）
42,整体评价：包装精致 口红有重量 磁吸壳很不错 唇膏质地：偏油 很润不哑光 上嘴不黏 质量一般 持久度中等 口红很沾杯 易掉色 希望品牌在包装精致的基础上提升一下质量 口红没有好的那么夸张,颜色分类:M408子期绣（红柚豆沙）
43,真的很好看的颜色，超级润，还不像那种亮晶晶的，就是润润的还很好看！雕花工艺也很好！花西子真的不错。,颜色分类:M124知音绣（栗子红棕）
44,好评是给的品牌不是产品（应该感谢李佳琦天天给你们宣传）。说白了这个口红我就是冲着联名买的，尤其是冲着雕了门派logo买的，因为这个颜色放我我是不会用的，买来就是准备收藏的。我还被亲友嘲笑了说以为没人会买口红结果我买了。买都买了但是拆开我真是没想到&hellip;&hellip;居然不是所有门派的logo都是雕的完整的&hellip;&hellip;而我的门派，就是只雕了半个的门派之一&hellip;&hellip;就&hellip;&hellip;五毒的logo本来就只是个圈，你雕一半，我？还收藏什么呢？可能设计者有自己的考量，但我作为游戏玩家买这个联名款，看上的就是游戏的特色。你把我中意的元素咔嚓砍一半，买家能高兴吗？,颜色分类:【剑网3比翼相思联名】 M122 相思绣
45,整体评价：好看，是喜欢的颜色 保湿效果：很好，不干 唇膏质地：滋润 上嘴效果：容易上妆 实物颜色：和图片一样，比较自然，适合素颜,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
46,雕花很精美的，颜色也很好看，欢喜,颜色分类:【剑网3比翼相思联名】 M122 相思绣
47,太好看了。买来送女朋友的。 花西子这个牌子很好。尽快购买哦。绝对正品,颜色分类:M116彤心绣（烂番茄色）
48,送给老婆的七夕节礼物，对于口红色系也不懂，还好有在线试妆，自己试了每个颜色，最后感觉M406的比较适合，看上去不是那么很艳，收到后果然很满意，膏体上的浮雕图案也是特别的精致！值得一提的是包装让我很意外，小小一支口红用了很大的个盒子，口红还是装在减震气泡袋里的，还放了冰袋和保温袋，为何防止高温天气口红融化，顺丰快递的速度也是很给力的，我刚上班就送到了，做好一个品牌，细节很重要！,颜色分类:M406檀心绣（豆沙色）
49,收到宝贝，很喜欢喔，比想象的更加体贴，包装好看😘  雕花就不拍了，慢慢欣赏东方艺术的艺美，口红💄色号也深得我心 ☺️  礼盒也很好看，我用来家里的柜里做装饰盒😜 很满意的一次购买,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
50,拿到手就会觉得这是非常有格调的一个品牌，包装各种的都很精致。口红挺滋润的，拿纸抿一下之后就会有哑光的效果。颜色非常显牙白，非常非常，白到让我感动哭了...,颜色分类:【剑网3比翼相思联名】 M122 相思绣
51,之前买了他家的散粉、还不错。这次闺蜜过生日、看着这雕花挺美的、就选了一只，闺蜜也说挺好看的。至于滋润的话、就不知道了。可惜的是买了两只、分开下单就没送礼品。,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
52,这细节可太棒了，就是过于好看了完全不舍得用的,颜色分类:【剑网3比翼相思联名】 M122 相思绣
53,整体评价：拿在手中很有分量质感，非常的高级好看。 保湿效果：很润 唇膏质地：非常漂亮，微雕好好看 上嘴效果：无论是薄涂还是厚涂都非常好看，颜色高级。,颜色分类:M116彤心绣（烂番茄色）
54,售后服务太好了吧   因为天气热寄过来口红膏体融化 斜了  然后 花纹被刮花了  跟客服说了  就寄回去换了一只回来哈哈哈哈  反正  可能是她们正常*作  但是体验感挺好  我很少认真写体验感受  这个  一百昏一百昏 奈斯  上嘴试了  丝绒丝绒的感觉  不油腻也不会很拔干  颜色也喜欢  赞,颜色分类:M119湘妃绣（胡萝卜色）
55,非常喜欢口红的雕花，太漂亮了，颜色也是我喜欢的，我嘴唇偏干滋润度和持久度也很好准备继续入手正红色,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
56,浮雕和包装都绝美，姐妹们买它！花隐星穹名字也好听！快递里还放了冰袋，超贴心！这个颜色不大适合我，感觉有一丢丢橘色调，可能是室内光线问题，不过没关系，买了就是要收藏的！下次再买个我喜欢的颜色！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
57,十五门派确实惊喜呢，丐帮明教不配和其他门派一个大小，微博话题你做主，搞得一手好屏蔽😁既然用门派logo做噱头，用旧色号联名搞个劣质雕花也能出来圈钱啦，还显黑，本韭菜无语子。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
58,物美价廉，很好很好，很喜欢,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
59,整体评价：高级 保湿效果：不错的，不干 唇膏质地：半哑光半滋润 上嘴效果：日常 实物颜色：好看,颜色分类:M406檀心绣（豆沙色）
60,非常滋润，比纪梵希的好用，阿玛尼的都滋润，太超值了！商家非常专业，快递盒里面还放了冰袋防止口红预热划掉！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
61,整体评价：超级喜欢，口红外观就特别喜欢，还是吸铁石的 保湿效果：抹的薄一点就会很干 唇膏质地：很好 上嘴效果：涂起来很好看 实物颜色：颜色和图片差不多,颜色分类:M408子期绣（红柚豆沙）
62,很好看 也太精致了吧   都舍不得用了,颜色分类:M406檀心绣（豆沙色）
63,包装很精致，每拆一步都像是艺术品，口红雕刻精致。送了个绿色丝绒盒子，出门装着也不怕口红盒被刮花了，还送了个花西子的卸妆巾。总之，剑网3花西子牛批,颜色分类:【剑网3比翼相思联名】 M122 相思绣
64,整体评价：超级棒 保湿效果：第一次用哑光的口红不干皮的呢。还没用润唇膏 唇膏质地：润润的，上色也很容易 上嘴效果：刚上嘴时会掉色，但稍等一会掉色就不会很明显了，喝水几乎不沾杯 实物颜色：颜色简直不要太棒。唇色深，本来不是特别适合豆沙色的，但这款色真的好看，超级显白。,颜色分类:M407玉棠绣（微糖豆沙）
65,整体评价：包装很到位，缓冲和保温也做得很好，雕花很漂亮 保湿效果：效果很好，长时间也不会觉得干 唇膏质地：品质挺好的，柔软细腻 上嘴效果：挺不错的，很有轮廓感 实物颜色：很喜欢，颜色和图片一致,颜色分类:M408子期绣（红柚豆沙）
66,此用户没有填写评论!,颜色分类:M116彤心绣（烂番茄色）
67,整体评价：包装精致 口红有重量 磁吸壳很不错 唇膏质地：偏油 很润不哑光 上嘴不黏  质量一般 持久度中等  口红很沾杯 易掉色 希望品牌在包装精致的基础上提升一下质量 口红没有好的那么夸张  实物颜色：胡萝卜色偏橙调,颜色分类:M119湘妃绣（胡萝卜色）
68,包装很好，还收到了花西子的小信呢，感觉口红也很好,颜色分类:M408子期绣（红柚豆沙）
69,整体评价：非常水润，很好看颜色，人生第二只口红，上一只不是很满意，这一只真的很好，外观也很好看 保湿效果：很好 唇膏质地：水润 实物颜色：粉,颜色分类:M407玉棠绣（微糖豆沙）
70,超级正的颜色，已经第n➕1次买了，好看，好用，不拔干也不会显油腻，超爱，送人自己用都是最好的选择，粉也好用，等活动准备入手新款粉饼，赞赞,颜色分类:M117红鸾绣（正红色）
71,第二次购买了，没打开用，因为准备送人，包装也很精致，女孩子嘛，总是喜欢外表好看的东西，我觉得这个口红送人很有感觉哈，还怕天气热口红受损，可是包装很有效避免了这个事情哈,颜色分类:M407玉棠绣（微糖豆沙）
72,整体评价：很滋润 非常感谢花西子 从拍下开始 一旦下单就全程提醒你 非常用心 包装也很美 喜欢 要做精致的猪猪女孩了 等下次买其他颜色 保湿效果：不错 不怎么粘杯 这点很赞哦～ 唇膏质地：比较润 不干 有光泽 上嘴效果：颜色上色很好的,颜色分类:M122绛仙绣（红棕焦糖）
73,花西子的雕花口红真的很好，雕刻的很精美，是送朋友当生日礼物的，真的巨好，我说天气热怕化掉口红，然后店主说会尽快送到，会有冰袋，当时还有点担心冰袋化了，粘在口红壳上，结果我没有想到店家又给口红包装了一下 整体评价：口红颜色没有色差，雕花真的十分精致,颜色分类:M408子期绣（红柚豆沙）
74,买口红是因为本来已经看好了，等着活动的时候买，可是突然看直播发现晨安辞职了，以后都看不到晨安播的直播了，很难过，就买了几支口红来安慰一下自己。之前看月野和柒小柒直播的时候涂了这几种颜色还是很漂亮的，有些适合素颜，有些适合淡妆，都是很适合夏天的口红，很漂亮，拿到手发现确实很漂亮的。PS：云薇是个小可爱。,颜色分类:M116彤心绣（烂番茄色）
75,很不错雕花特别精致,颜色分类:M117红鸾绣（正红色）
76,整体评价：非常好 保湿效果：非常棒👍 唇膏质地：很滑很保湿 上嘴效果：非常漂亮非常喜欢 实物颜色：和图片一样,颜色分类:M505紫云绣（浆果葡萄）
77,厚涂薄涂白炽灯和护眼暖光灯 应该算砖红色 无滤镜 这里电八二小姐 冲着图案买的 膏体很润 颜色很好看 超级喜欢 性价比超级高！ 当然捏脸币也是要嫖的嗯嗯 隔天收到了物流超快,颜色分类:【剑网3比翼相思联名】 M122 相思绣
78,给朋友买的生日礼物，朋友特别喜欢。雕花做工非常细，口红切面也有雕花，真的是美翻了。都不舍得上嘴涂。还有，谢谢白薇小姐姐，非常耐心。白薇加油呀,颜色分类:M122绛仙绣（红棕焦糖）
79,整体评价：女朋友很喜欢 保湿效果：不错 唇膏质地：棒 上嘴效果：好看 实物颜色：可以,颜色分类:M122绛仙绣（红棕焦糖）
80,整体评价：包装古香古色，独具一格， 唇膏质地：上面的雕花很精致 上嘴效果：显白 实物颜色：很漂亮,颜色分类:M408子期绣（红柚豆沙）
81,口红超级棒，超级有质感，包装也非常高档，里面纹路清晰，这么热的天卖家贴心的当了冰袋，拿来快递的时候就打开口红了，里面纹路清晰，颜色也非常喜欢，好评，真的是太好看了,颜色分类:M407玉棠绣（微糖豆沙）
82,包装精美，颜色好看，涂上去不干。关键是雕花细致，好好看看哦，还送了一片卸妆巾，检验并且是正品。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
83,不得不说花西子的颜值真的深爱了，每一款都是恰到 好处的美，必须是国货之光啊，很湿润上色效果也超 级棒，这款的雕花真的是精致到不行啊,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
84,此用户没有填写评论!,颜色分类:【剑网3比翼相思联名】 M122 相思绣
85,漂亮，不拔干，不怎么沾杯，太喜欢了我就喜欢哑光又带点滋润的，以前用哑光的嘴要起皮，这个完全不会，超级爱，颜色好正,颜色分类:M115御宫绣（复古红）
86,很精美，送给女朋友，高兴极了,颜色分类:M117红鸾绣（正红色）
87,整体评价：看起来很高级 保湿效果：挺好的 唇膏质地：细腻 上嘴效果：好看 实物颜色：美,颜色分类:M408子期绣（红柚豆沙）
88,整体评价：很不错。真的很棒,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
89,我用花西子最开始用的是定妆散粉，第一次用就是试试的心态，价格不高，如果不喜欢也可以接受。没想到这么一试让我完全爱上了，我是摆地摊卖卤肉的，每天在热肉锅边上站十多个小时，风吹日晒，热气熏着，汗流浃背一点不夸张。每天凌晨收摊，我的妆容还是美美哒，我不得不为花西子点赞，也为我自己点赞，这次看见花西子又出新品了，蚕丝蜜粉饼，丝绸之路浮雕版。牡丹镂月浮雕眼影盘，口红，收到宝贝打开一看，这完全就是艺术品啊，太精致了，现在所有的彩妆我都选择花西子，我漂亮，我自信。,颜色分类:M408子期绣（红柚豆沙）
90,整体评价：不得不说这个雕花真的很好看，爱了爱了 保湿效果：还挺润的 实物颜色：有点偏橘调，个人唇色很浅,颜色分类:【剑网3比翼相思联名】 M122 相思绣
91,保湿效果：非常不错 唇膏质地：好 上嘴效果：效果好 实物颜色： 超喜欢,颜色分类:M116彤心绣（烂番茄色）
92,虽然是第一次购买花西子的产品 但打开包装后有被惊艳到 包装很完整 也很贴心 口红里面特意放了冰袋 中国风的元素也非常漂亮 我是买来送给妈** 我觉得非常适合 会多多支持的！,颜色分类:M407玉棠绣（微糖豆沙）
93,不得不说真漂亮 我一个男的都老喜欢了 快递也很给力 两天到货,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
94,整体评价：外观大气 保湿效果：不错 唇膏质地：高级 上嘴效果：提气色 实物颜色：棒棒棒,颜色分类:M116彤心绣（烂番茄色）
95,整体评价：美观大气有质感 保湿效果：很好 唇膏质地：两个字  很棒 上嘴效果：颜色很正  看着舒服 实物颜色：很大牌的感觉，不对  这就是大牌,颜色分类:M116彤心绣（烂番茄色）
96,买的基三联名款，颜色比想象中还深。。美白滤镜都还是看得出很深&hellip;不打底妆么法单涂。膏体很润，涂抹还算流畅。雕花有门牌logo，可能还是压箱底了😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
97,我觉得贼好看！颜色正好是我缺的红棕调，质地滋润但不油，同价位和mac相比也不差了。雕花也好看，虽然0小雪猛的一眼并不能找到自己的门派hhh。不知道为什么大家对这支联名口红的评价那么两极分化～总的来说很推荐！这个颜色送情缘不会错的（,颜色分类:【剑网3比翼相思联名】 M122 相思绣
98,拆开快递之后，感觉质量不错，还赠送了卸妆湿巾，口红很有质感，雕花也很精致，买的剑三联名款，门派标志清晰可见，口红上嘴质地很润，颜色也很显白，非常适合秋冬,颜色分类:【剑网3比翼相思联名】 M122 相思绣
99,包装超级好看！冲着剑三买的，雕花真的好厉害，买回来估计舍不得用了。说是雕花包含十五个门派，但是数了数只有11个，少了明教、丐帮、蓬莱和凌雪阁&hellip;而且五毒logo还不全就很尴尬&hellip;&hellip;总体来说还是很棒棒的！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
100,包装盒太大了，然后找不到快递，麻烦了好久快递小哥和客服小姐姐，慕青客服小姐姐好可爱，货收到了很满意，口红是送女朋友的，口红外形有渐变色，我个男人都爱了，之前看别人打广告来买试一下，真的太中国风了，力挺国货，爱了爱了,颜色分类:M116彤心绣（烂番茄色）
101,保湿效果：杠杠滴 唇膏质地：挺不错的 一擦就上色 上嘴效果：客服推荐的颜色蛮好蛮好 实物颜色：以为不好看，结果超出想像,颜色分类:M116彤心绣（烂番茄色）
102,整体评价：雕花太精致了 保湿效果：很润 冲着联名买的，灯光下拍颜色亮了点，手上试涂很显色,颜色分类:【剑网3比翼相思联名】 M122 相思绣
103,好喜欢，包装好用心啊，雕花的口红，喜欢这样的精致感，很精美的花纹，上唇是滋润的，这个色适合日常，素颜也好看，爱啦爱啦。,颜色分类:M407玉棠绣（微糖豆沙）
104,整体评价：好看 还送了冰袋防止雕花融化  雕花我就不拍了，太费劲了，没问题就是了 上嘴效果：资润  实物颜色：适合上班,颜色分类:M407玉棠绣（微糖豆沙）
105,包装完美精致，大气上档次，口红外壳超级喜欢，口红质地滋润不拔干，切设计超有感觉，爱了,颜色分类:M119湘妃绣（胡萝卜色）
106,从花西子的一代雕花口红开始就是老客户了😍前前后后买了好多花西子家的东西了。 这次是和剑网3的联名相思绣，于是开始双厨狂喜，立马就下单了。 这大夏天的还装备了冰袋，也太贴心了哈哈🥺 立刻马上！返图！ 最后！墙角的长小歌最后的排面🤣,颜色分类:【剑网3比翼相思联名】 M122 相思绣
107,整体评价：很漂亮喜欢 保湿效果：很不错的我喜欢 唇膏质地：很好好漂亮质地很好我很喜欢 上嘴效果：都很漂亮我很喜欢 实物颜色：爱你买它,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
108,总体不错，比较滋润，好上色，薄涂比较日常，建议正常涂后纸巾抿个几次 然后就是这么热的天为什么没有放冰块！膏体都化掉了！部分雕花都不清楚了！手背试色就那么轻轻一涂就感到膏体歪了！！明明看评论有放冰块啊喂！！是我们不够南不配拥有冰块嘛！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
109,送给女朋友的礼物~本以为会是一个小盒子，没想到包装这么细致~口红没敢拆~免得对象不愿意~哈哈哈~包装挺精致的~,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
110,盒子的外包装很漂亮 里面的信也很用心 口红有单独拿冰块儿包起来，与纸盒分开 还送了卸妆湿巾 是我喜欢的古风款,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
111,整体评价：我觉得还不错，包装很讲究，买给我**，她很喜欢，超级细致的口红,颜色分类:M123伯牙绣（宝石樱红）
112,在22岁生日当天收到宝贝啦！今天赶快来评价 第一次用花西子的口红 非常漂亮。很喜欢这个色号。也算是自己送给自己的生日礼物吧，下次会继续回购。,颜色分类:M407玉棠绣（微糖豆沙）
113,整体评价：好快啊，昨天中午下的单，今天中午就到了，一直等到下班才去拿。感觉真的好看，这雕花好厉害啊！试了一下，感觉还不错，挺顺手的，颜色我个人也挺喜欢的，哑光也不会显得特别红,颜色分类:【剑网3比翼相思联名】 M122 相思绣
114,一分价钱一分货，跟大牌口红是没法比，但是这个价位买这种口红也还行，魅可性价比更高，外观倒是很好看,颜色分类:M117红鸾绣（正红色）
115,整体评价：快递速度很快，值得好评哦⊙&forall;⊙！ 保湿效果：保湿度不错 唇膏质地：质地绵密丝滑 上嘴效果：上嘴很好看，颜色很正,颜色分类:M122绛仙绣（红棕焦糖）
116,滋润是很滋润的就是超级沾杯 掉色快。子期绣和玉棠绣显色度还不错薄涂厚涂都很好看彤心绣有一点点的小色块不是很好！,颜色分类:M408子期绣（红柚豆沙）
117,整体评价：雕花好看，但是有点密集&hellip;&hellip; 保湿效果：比较润 实物颜色：颜色比照出来偏深一些，冬天用还好,颜色分类:【剑网3比翼相思联名】 M122 相思绣
118,收到包裹很惊喜，首先包装的颜色很喜欢，感觉很有质感，很高端的颜色；其次因为是送人的，客服特地备注送了礼盒，礼袋和小卡片；最后膏体的雕刻很精致，上嘴还行，不拔干，但沾杯有点严重,颜色分类:M407玉棠绣（微糖豆沙）
119,收到包裹很惊喜，首先包装的颜色很喜欢，感觉很有质感，很高端的颜色；其次因为是送人的，客服特地备注送了礼盒，礼袋和小卡片；最后膏体的雕刻很精致，上嘴还行，不拔干，但沾杯有点严重,颜色分类:M408子期绣（红柚豆沙）
120,整体评价：浮雕蛮好看 我拿到的时候里面的冰袋破掉了 漏水了 但是口红里三层外三层包的很好 上家很细心 还送了一个卸妆湿巾 包装很精美 膏体可能是我的原因涂着稍微有一点干 不过很好 我涂口红都会带唇膏的 我买的408 图片是薄涂 等我出门化妆了再拍个照,颜色分类:M408子期绣（红柚豆沙）
121,我一直很想买一只花西子的口红试试，这次正好赶上我最爱的游戏剑网三和花西子联名，当机立断下单，没有试色，不想破坏它的美好，放冰箱准备当个收藏品了，,颜色分类:【剑网3比翼相思联名】 M122 相思绣
122,颜色很漂亮，个人比较喜欢，试着涂了一下，上妆效果真的很强，适合各种妆容，也不干。 个人情况：二十七岁。扫码了，是正品。  持久情况：第一次抿开后用面巾盖上，用散粉扫一下，一天都不用补口红，很持久。 整体描述：高端大气上档次 适合肤质：本人皮肤偏黄，唇色较深，所以涂起来感觉颜色就比较深。上妆以后真的不显黑，感觉皮肤都白了，还比较有气场的颜色。,颜色分类:M122绛仙绣（红棕焦糖）
123,整体评价：颜色不错 唇膏质地：很润 上嘴效果：好看 这个颜色薄涂还是蛮日常的,颜色分类:【剑网3比翼相思联名】 M122 相思绣
